State_Name,Year,PC_No,Party,Candidate,Sex,Total_Votes,N_Segments,PC_Name,PC_Position,PC_Total_Votes,PC_Vote_Share,N_Candidates_PC
Andaman_&_Nicobar_Islands,2014,1,IND,V V KHALID,M,429,1,Andaman,11,188650,0.2274052478134111,15
Andaman_&_Nicobar_Islands,2014,1,NCP,R.S.UMA BHARATTHY,F,1150,1,Andaman,7,188650,0.6095944871455076,15
Andaman_&_Nicobar_Islands,2014,1,SP,RAGHUBIR SINGH,M,379,1,Andaman,12,188650,0.20090113967664988,15
Andaman_&_Nicobar_Islands,2019,1,AAAP,SANJAY MESHACK,M,2837,1,Andaman & Nicobar Islands,4,205669,1.3794008819997179,15
Andaman_&_Nicobar_Islands,2019,1,AINHCP,C G SAJI KUMAR,M,212,1,Andaman & Nicobar Islands,15,205669,0.10307824708633777,15
Andaman_&_Nicobar_Islands,2019,1,AITC,AYAN MANDAL,M,1717,1,Andaman & Nicobar Islands,6,205669,0.8348365577700091,15
Andaman_&_Nicobar_Islands,2019,1,BJP,VISHAL JOLLY,M,93772,1,Andaman & Nicobar Islands,2,205669,45.59364804613238,15
Andaman_&_Nicobar_Islands,2019,1,BSP,PRAKASH MINJ,M,2478,1,Andaman & Nicobar Islands,5,205669,1.204848567358231,15
Andaman_&_Nicobar_Islands,2019,1,INC,KULDEEP RAI SHARMA,M,95249,1,Andaman & Nicobar Islands,1,205669,46.311792248710304,15
Andaman_&_Nicobar_Islands,2019,1,IND,C U RASHEED,M,272,1,Andaman & Nicobar Islands,12,205669,0.13225133588435786,15
Andaman_&_Nicobar_Islands,2019,1,IND,GOUR CHANDRA MAJUMDER,M,221,1,Andaman & Nicobar Islands,14,205669,0.10745421040604078,15
Andaman_&_Nicobar_Islands,2019,1,IND,HENRY,M,994,1,Andaman & Nicobar Islands,7,205669,0.4833008377538667,15
Andaman_&_Nicobar_Islands,2019,1,IND,K KALIMUTHU,M,269,1,Andaman & Nicobar Islands,13,205669,0.13079268144445688,15
Andaman_&_Nicobar_Islands,2019,1,IND,K VENKAT RAM BABU,M,914,1,Andaman & Nicobar Islands,8,205669,0.44440338602317314,15
Andaman_&_Nicobar_Islands,2019,1,IND,MINATI BISWAS,F,615,1,Andaman & Nicobar Islands,9,205669,0.29902416017970623,15
Andaman_&_Nicobar_Islands,2019,1,IND,PARITOSH KUMAR HALDAR,M,5339,1,Andaman & Nicobar Islands,3,205669,2.595918684877157,15
Andaman_&_Nicobar_Islands,2019,1,IND,S SUDERSHAN RAO,M,475,1,Andaman & Nicobar Islands,10,205669,0.2309536196509926,15
Andaman_&_Nicobar_Islands,2019,1,IND,V V KHALID,M,305,1,Andaman & Nicobar Islands,11,205669,0.14829653472326892,15
Andhra_Pradesh,1999,1,AJBP,Appala Naidu Golive,M,7277,7,Srikakulam,3,657653,1.1065105762461358,3
Andhra_Pradesh,1999,1,INC,Kanithi Viswanadaham,M,276797,7,Srikakulam,2,657653,42.08860903850511,3
Andhra_Pradesh,1999,1,TDP,Yerrannaidu Kinjarapu,M,373579,7,Srikakulam,1,657653,56.80488038524876,3
Andhra_Pradesh,1999,2,INC,Kishore Chandra Suryanarayana,M,290317,7,Parvathipuram,2,613009,47.35933730173619,4
Andhra_Pradesh,1999,2,IND,Arika Gumpa Swamy,M,9750,7,Parvathipuram,3,613009,1.5905149842824495,4
Andhra_Pradesh,1999,2,IND,Vooyaka Mutyalu,M,9171,7,Parvathipuram,4,613009,1.4960628636773685,4
Andhra_Pradesh,1999,2,TDP,Dadichiluka Veera Gouri Sankara,M,303771,7,Parvathipuram,1,613009,49.554084850303994,4
Andhra_Pradesh,1999,3,AJBP,Manjula Dasari,F,16423,7,Bobbili,3,693654,2.3676069048834147,4
Andhra_Pradesh,1999,3,INC,Botcha Satyanarayana,M,339476,7,Bobbili,1,693654,48.9402497498753,4
Andhra_Pradesh,1999,3,IND,Enumula Appa Rao,M,2010,7,Bobbili,4,693654,0.2897698276085772,4
Andhra_Pradesh,1999,3,TDP,Aruna Padala,F,335745,7,Bobbili,2,693654,48.40237351763271,4
Andhra_Pradesh,1999,4,CPM,Ch.Narsinga Rao,M,26595,7,Visakhapatnam,3,884142,3.008000977218592,6
Andhra_Pradesh,1999,4,INC,T.Subbarami Reddy,M,402664,7,Visakhapatnam,2,884142,45.542910527946866,6
Andhra_Pradesh,1999,4,IND,Appa Rao Gudivada,M,2263,7,Visakhapatnam,5,884142,0.25595436027244495,6
Andhra_Pradesh,1999,4,IND,Nanduri Pani,M,1458,7,Visakhapatnam,6,884142,0.1649056373297502,6
Andhra_Pradesh,1999,4,SP,Navish Yadav(T.N.V.Murthi B.E.),M,9377,7,Visakhapatnam,4,884142,1.060576242277824,6
Andhra_Pradesh,1999,4,TDP,M.V.V.S.Murthy,M,441785,7,Visakhapatnam,1,884142,49.96765225495452,6
Andhra_Pradesh,1999,5,CPI,Ramaiah Sode,M,122436,7,Bhadrachalam,3,728170,16.81420547399646,6
Andhra_Pradesh,1999,5,INC,T.Ratnabai,F,256287,7,Bhadrachalam,2,728170,35.196039386407016,6
Andhra_Pradesh,1999,5,IND,K. Ranga Reddy,M,16892,7,Bhadrachalam,5,728170,2.319787961602373,6
Andhra_Pradesh,1999,5,IND,Kurasam Subba Rao,M,14659,7,Bhadrachalam,6,728170,2.013128802340113,6
Andhra_Pradesh,1999,5,NTRTDP(LP),Pangi Satyanarayana,M,24414,7,Bhadrachalam,4,728170,3.3527884971915896,6
Andhra_Pradesh,1999,5,TDP,Dumpa Mary Vijaya Kumari,F,293482,7,Bhadrachalam,1,728170,40.30404987846244,6
Andhra_Pradesh,1999,6,ATDP,Appala Trinadha Rao Bheesetti,M,13916,7,Anakapalli,3,743831,1.8708550732626092,4
Andhra_Pradesh,1999,6,INC,Gurunadha Rao Gudivada,M,334017,7,Anakapalli,2,743831,44.904958249925045,4
Andhra_Pradesh,1999,6,NTRTDP(LP),Choday Srinivasa Rao,M,3561,7,Anakapalli,4,743831,0.4787377778016781,4
Andhra_Pradesh,1999,6,TDP,Ganta Srinivasa Rao,M,392337,7,Anakapalli,1,743831,52.74544889901066,4
Andhra_Pradesh,1999,7,AJBP,Mutyala Ramalinga Chowdary,M,1320,7,Kakinada,7,811555,0.16265071375322682,7
Andhra_Pradesh,1999,7,ATDP,Boddu Krishna Mohan,M,44461,7,Kakinada,3,811555,5.478494988016832,7
Andhra_Pradesh,1999,7,CPI(ML)(L),Nainalasetti Murthy,M,8854,7,Kakinada,4,811555,1.0909919845235383,7
Andhra_Pradesh,1999,7,INC,Thota Subbarao,M,313744,7,Kakinada,2,811555,38.659610254388184,7
Andhra_Pradesh,1999,7,IND,Chandrasekhararao P.,M,1502,7,Kakinada,6,811555,0.18507679701314145,7
Andhra_Pradesh,1999,7,IND,Pachipala Rama Prakash,M,6210,7,Kakinada,5,811555,0.7651976760663171,7
Andhra_Pradesh,1999,7,TDP,Mudragada Padmanabham,M,435464,7,Kakinada,1,811555,53.65797758623876,7
Andhra_Pradesh,1999,8,AJBP,Bommidi Ram Mohan Rao,M,15727,7,Rajahmundry,3,795240,1.977641969719833,7
Andhra_Pradesh,1999,8,ATDP,Velagala Sathi Reddy (Advocate),M,10928,7,Rajahmundry,4,795240,1.3741763492782053,7
Andhra_Pradesh,1999,8,BJP,Satyanarayana Rao S.B.P.B.K,M,411385,7,Rajahmundry,1,795240,51.730923997786824,7
Andhra_Pradesh,1999,8,INC,Chitturi Ravindra,M,351454,7,Rajahmundry,2,795240,44.194708515668225,7
Andhra_Pradesh,1999,8,IND,M.K.R.C. Murty,M,2839,7,Rajahmundry,5,795240,0.35699914491222773,7
Andhra_Pradesh,1999,8,IND,Narapareddy Soma Brahma Ran,M,1565,7,Rajahmundry,6,795240,0.1967959358181178,7
Andhra_Pradesh,1999,8,IND,Sri Hari Rao Rimmalapudi,M,1342,7,Rajahmundry,7,795240,0.1687540868165585,7
Andhra_Pradesh,1999,9,AJBP,Akumarthi Aseervadamu,M,1920,7,Amalapuram,5,661722,0.2901520578127975,5
Andhra_Pradesh,1999,9,ATDP,Saka Yesuratnam,M,16768,7,Amalapuram,4,661722,2.5339946382317646,5
Andhra_Pradesh,1999,9,INC,Gollapalli Suryarao,M,248820,7,Amalapuram,2,661722,37.60189324217723,5
Andhra_Pradesh,1999,9,MCPI(S),Akumarthi Suryanarayana,M,26486,7,Amalapuram,3,661722,4.002587189182164,5
Andhra_Pradesh,1999,9,TDP,Ganti Mohanachandra Balayogi,M,367728,7,Amalapuram,1,661722,55.57137287259605,5
Andhra_Pradesh,1999,10,BJP,Uppalapati Venkata Krishnam Raj,M,419738,7,Narasapur,1,701828,59.80639130955163,3
Andhra_Pradesh,1999,10,CPM,Rudraraju Satyanarayana Raju(R.,M,28142,7,Narasapur,3,701828,4.0098143704725375,3
Andhra_Pradesh,1999,10,INC,Kanumuru Bapiraju,M,253948,7,Narasapur,2,701828,36.18379431997584,3
Andhra_Pradesh,1999,11,ATDP,G.S.R. Chowdary,M,6857,7,Eluru,4,832767,0.8233995823561692,8
Andhra_Pradesh,1999,11,INC,Maganti Venkateswara Rao (Bab,M,372684,7,Eluru,2,832767,44.752493794782936,8
Andhra_Pradesh,1999,11,IND,Dayyala Sareen Babu,M,13067,7,Eluru,3,832767,1.5691063646854402,8
Andhra_Pradesh,1999,11,IND,Karuturi Ramakrishna (Kittu),M,1241,7,Eluru,6,832767,0.14902127485839375,8
Andhra_Pradesh,1999,11,IND,Koduri Sriramulu,M,752,7,Eluru,7,832767,0.09030136881024345,8
Andhra_Pradesh,1999,11,IND,Sunkavalli Srigopinadh,M,324,7,Eluru,8,832767,0.03890644081717936,8
Andhra_Pradesh,1999,11,NTRTDP(LP),Maganti Sridevi,F,2681,7,Eluru,5,832767,0.3219387896014131,8
Andhra_Pradesh,1999,11,TDP,Bolla Bulli Ramaiah,M,435161,7,Eluru,1,832767,52.254832384088225,8
Andhra_Pradesh,1999,12,AJBP,Rajendra Prasadu Puttagunta,M,12074,7,Machilipatnam,3,710858,1.698510813692749,4
Andhra_Pradesh,1999,12,INC,Kavuru Sambasiva Rao,M,303947,7,Machilipatnam,2,710858,42.757765967324,4
Andhra_Pradesh,1999,12,PPOI,Kameswara Rao Dodda,M,7716,7,Machilipatnam,4,710858,1.0854488519507413,4
Andhra_Pradesh,1999,12,TDP,Ambati Brahmanaiah,M,387121,7,Machilipatnam,1,710858,54.45827436703251,4
Andhra_Pradesh,1999,13,AJBP,Nandigam Vishnu,M,2189,7,Vijayawada,7,928756,0.2356916132977876,12
