State,Constituency,Predicted_Woman_Win_Prob,Predicted_Man_Win_Prob,Predicted_Gender_Gap,Empirical_Women_Win_Rate,Empirical_Men_Win_Rate,Women_Fielded,Total_Candidates,Const_Type,Potential_Score
Andhra_Pradesh,DICHPALLI,0.3271119054530258,0.3288172523516919,0.0017053468986660825,0.0,0.1346153846153846,0,52,GEN,32.655406617954476
Andhra_Pradesh,DICHPALLY,0.37609023932076796,0.3779075225230151,0.0018172832022471663,0.0,0.2,0,5,GEN,37.54067768463212
Andhra_Pradesh,DOMMAT,0.35488518634253113,0.35665857932399747,0.0017733929814663374,0.0,0.16923076923076924,0,65,GEN,35.425583544384494
Andhra_Pradesh,DORNAKAL,0.40771080226060513,0.4095805734217325,0.0018697711611273538,0.0,0.2558139534883721,0,43,ST,40.694847636045814
Andhra_Pradesh,DUBBAK,0.3174656176747508,0.31914452695645323,0.0016789092817024454,0.0,0.08333333333333333,0,12,GEN,31.693262170261526
Andhra_Pradesh,DUGGIRALA,0.3770719103876645,0.3788910564232424,0.0018191460355778677,0.0,0.2127659574468085,0,47,GEN,37.6385961516755
Andhra_Pradesh,ELAMANCHILI,0.3785776136924742,0.3803995879120167,0.0018219742195424993,0.0,0.18571428571428572,1,71,GEN,37.78878550402307
Andhra_Pradesh,ELURU,0.35020841060306607,0.35197118401029204,0.0017627734072259704,0.0,0.12745098039215685,0,102,GEN,34.95910725298681
Andhra_Pradesh,ETCHERLA,0.40001365011429957,0.40187207277439047,0.001858422660090897,0.0,0.2,0,60,GEN,39.92702556825815
Andhra_Pradesh,GADWAL,0.3408950940191312,0.34263570797343523,0.0017406139543040267,0.0,0.16901408450704225,0,71,GEN,34.03017272615278
Andhra_Pradesh,GAGAN MAHAL,0.3252755063049799,0.32697593160203375,0.0017004252970538314,0.0,0.15384615384615385,0,13,GEN,32.472239960554695
Andhra_Pradesh,GAJAPATHINAGARAM,0.3749118904111444,0.37672691781128925,0.0018150274001448308,0.0,0.21311475409836064,2,63,GEN,37.42314150574081
Andhra_Pradesh,GAJUWAKA,0.32266091153003856,0.32435423923008244,0.0016933277000438784,0.0,0.075,2,42,GEN,32.21145408708233
Andhra_Pradesh,GAJWEL,0.3904054203605792,0.39224838736057704,0.0018429669999978637,0.0,0.19642857142857142,0,56,GEN,38.968591605423434
Andhra_Pradesh,GANGADHARA NELLORE,0.35250365083247387,0.35427167848962954,0.0017680276571556686,0.0,0.08108108108108109,0,37,SC,35.18804146285537
Andhra_Pradesh,GANNAVARAM,0.35388367300253126,0.35565482042026586,0.0017711474177345976,0.0,0.13559322033898305,2,120,SC,35.32568928489144
Andhra_Pradesh,GHANPUR,0.39527704331212343,0.3971280257059389,0.0018509823938154812,0.0,0.15625,0,64,SC,39.45453924642732
Andhra_Pradesh,GHANPUR (STATION),0.358774741047439,0.3605567073866346,0.0017819663391955842,0.0,0.09090909090909091,0,11,SC,35.81354165355389
Andhra_Pradesh,GHANPUR (STATION) (SC),0.4522978477183756,0.45421528642057263,0.0019174387021970163,0.0,0.2,0,5,SC,45.143059432024
Andhra_Pradesh,GHANPUR(SC),0.3900424301752716,0.39188478520056164,0.00184235502529001,0.0,0.16666666666666666,0,6,SC,38.93238335439619
Andhra_Pradesh,GIDDALUR,0.3308755616813582,0.33259083155611174,0.0017152698747535666,0.0,0.12173913043478261,1,116,GEN,33.0308020798114
Andhra_Pradesh,GOMPA,0.4196232527314487,0.4215087761070484,0.001885523375599718,0.0,0.4,0,5,GEN,41.88320432794784
Andhra_Pradesh,GOOTY,0.37791856913746286,0.3797393097937604,0.0018207406562975592,0.0,0.17543859649122806,0,57,GEN,37.723047743386445
Andhra_Pradesh,GOPALAPURAM,0.38767245428084957,0.38951076345793567,0.001838309177086106,0.0,0.13513513513513514,0,37,SC,38.69597924504416
Andhra_Pradesh,GOPALPURAM,0.36961585826457505,0.37142048099269576,0.0018046227281207083,0.0,0.14814814814814814,0,54,SC,36.8948841086077
Andhra_Pradesh,GORANTLA,0.37027541788634366,0.3720813601275167,0.0018059422411730308,0.0,0.22448979591836735,0,49,GEN,36.960672186831474
Andhra_Pradesh,GOSHAMAHAL,0.3040835701302656,0.305723408629396,0.0016398384991304082,0.0,0.05555555555555555,0,18,GEN,30.358492218501297
Andhra_Pradesh,GUDIVADA,0.32630633770948514,0.32800953211485273,0.0017031944053675918,0.0,0.10606060606060606,1,133,GEN,32.57505745806624
Andhra_Pradesh,GUDUR,0.38084480503383134,0.38267097138134915,0.0018261663475178103,0.0,0.16883116883116883,1,78,SC,38.01493190672515
Andhra_Pradesh,GUNTAKAL,0.31822504548150565,0.31990608856551805,0.0016810430840124013,0.0,0.07142857142857142,1,43,GEN,31.769009546963943
Andhra_Pradesh,GUNTUR EAST,0.3086776552142293,0.31033122054899753,0.0016535653347682366,0.0,0.05,4,64,GEN,30.816723654394952
Andhra_Pradesh,GUNTUR I,0.41913976009762083,0.4210246869739518,0.0018849268763309612,0.0,0.2,0,15,GEN,41.834971229887394
Andhra_Pradesh,GUNTUR II,0.3892373068946685,0.3910782972461213,0.001840990351452798,0.0,0.2222222222222222,0,9,GEN,38.85207247682499
Andhra_Pradesh,GUNTUR WEST,0.29837789694383865,0.3000002304799775,0.0016223335361388314,0.0,0.043478260869565216,4,73,GEN,29.789382847518407
Andhra_Pradesh,GUNTUR-I,0.3268732120703506,0.3285779222266117,0.0017047101562611133,0.0,0.08433734939759036,0,83,GEN,32.63159879859246
Andhra_Pradesh,GUNTUR-II,0.3089418433941883,0.31059618813123313,0.0016543447370448439,0.0,0.07692307692307693,0,91,GEN,30.84307470815162
Andhra_Pradesh,GURAZALA,0.3049164319457646,0.3065587833303489,0.0016423513845842952,0.0,0.05,0,40,GEN,30.4415652021576
Andhra_Pradesh,GURUZALA,0.30496931116284065,0.3066118217289585,0.0016425105661178607,0.0,0.06666666666666667,0,15,GEN,30.4468395846914
Andhra_Pradesh,GURZALA,0.33968336464298293,0.3414209964573366,0.0017376318143536573,0.0,0.11627906976744186,0,86,GEN,33.90931200217726
Andhra_Pradesh,HANAMKONDA,0.33295556973678886,0.3346762291896279,0.0017206594528390573,0.0,0.10526315789473684,0,76,GEN,33.23826665883459
Andhra_Pradesh,HARISCHANDRAPURAM,0.37301488264239574,0.3748262331872365,0.001811350544840773,0.0,0.2857142857142857,0,7,GEN,37.23392219314877
Andhra_Pradesh,HARISHCHANDRA,0.4026854999970151,0.40454796608988103,0.0018624660928659442,0.0,0.2631578947368421,0,19,GEN,40.19355119071819
Andhra_Pradesh,HARISHCHANDRAPURAM,0.31998425993406837,0.3216702115437869,0.0016859516097185168,0.0,0.16666666666666666,0,6,GEN,31.944478195594794
Andhra_Pradesh,HASANPARTHY,0.37776058134494744,0.37958102528684723,0.0018204439418997853,0.0,0.2,0,10,SC,37.707288938314946
Andhra_Pradesh,HIMAYATNAGAR,0.3184695805493486,0.32015130880820986,0.0016817282588612592,0.0,0.08333333333333333,0,84,GEN,31.793400125615108
Andhra_Pradesh,HINDUPUR,0.3432555551583751,0.34500191287017173,0.0017463577117966533,0.0,0.15151515151515152,0,99,GEN,34.26561081725072
Andhra_Pradesh,HUSNABAD,0.36069806062738313,0.36248417956032075,0.0017861189329376193,0.0,0.06666666666666667,0,15,GEN,36.00538109922227
Andhra_Pradesh,HUZURABAD,0.31088998105456084,0.31255003965064876,0.001660058596087921,0.0,0.08666666666666667,0,150,GEN,31.03738854690736
